Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Hashemi A.; Bouh I.A.; Charbonneau H.-L.; Leroux M.; Masakuna J.F.; Ngankam H.K.,"Hashemi, Ariaz (60812726400); Bouh, Ivan Ange (60812726500); Charbonneau, Henri-Louis (60812726600); Leroux, Maxime (60812401500); Masakuna, Jordan Félicien (57208203859); Ngankam, Hubert Kenfack (57193568340)",60812726400; 60812726500; 60812726600; 60812401500; 57208203859; 57193568340,BLUR: Spatially-Adaptive LiDAR Anonymization with Preserved Activity Recognition for Bathroom Monitoring,2027,Lecture Notes in Networks and Systems,2078 LNNS,,,403,420,0,10.1007/978-3-032-32726-0_24,https://www.scopus.com/pages/publications/105048741076?origin=resultslist,"Ambient Assisted Living systems deployed in bathrooms must reconcile two demands: enough geometric detail to recognize activities, and strong privacy protection in a sensitive environment. LiDAR captures 3D geometry without color or texture, yet raw point clouds still retain body silhouettes that leak identifying information. BLUR (Background-based LiDAR User Region anonymization) is a spatially adaptive pipeline that applies progressive geometric transformations (background subtraction, DBSCAN clustering, adaptive voxelization, Laplacian smoothing) scaled by a context-aware privacy score derived from zone proximity and body posture. A feature separability analysis indicates that bathroom activity recognition relies on coarse spatial properties such as zone position and approximate posture rather than on fine morphological detail, suggesting that geometric low-pass filtering can degrade identifying content without harming recognition utility. Experiments on four participants and three activities, evaluated under leave-one-participant-out cross-validation, yield 85.4% accuracy on raw point clouds and 89.2% at maximum anonymization, a gain attributable to BLUR’s noise-filtering effect on high-variance sensor returns. Adaptive anonymization also outperforms uniform voxelization (89.2% vs. 85.0%), with spatial parameter adaptation providing consistent feature quality across heterogeneous sensing conditions. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2027.",Activity recognition; Ambient assisted living; Bathroom monitoring; Geometric anonymization; LiDAR; Point clouds; Privacy protection,Anonymity; Assisted living; Geometry; Low pass filters; Mathematical morphology; Pattern recognition; Textures; Activity recognition; Ambient assisted living; Anonymization; Bathroom monitoring; Geometric anonymization; LiDAR; Point-clouds; Privacy protection; Spatially adaptive; Voxelization; Optical radar,Conference paper,Final,,Scopus,2-s2.0-105048741076
Dai Y.,"Dai, Yuanyuan (60783096000)",60783096000,Optimization design of age-friendly homestay spaces integrating Space syntax and SegNet,2026,Computational Urban Science,6,1,53,,,0,10.1007/s43762-026-00285-2,https://www.scopus.com/pages/publications/105046946612?origin=resultslist,"Objective: This study addresses critical gaps in age-friendly homestay design, an area that currently relies heavily on experience-based layouts and evaluation methods that remain largely decoupled from the spatial generation process. The objective is to develop quantifiable, interpretable, and automated spatial optimization methods for age-friendly homestay designs. “Age-friendly homestay spaces” refers to interior accommodation spaces designed or renovated for older adult guests in short-term lodging scenarios, rather than urban-scale planning or institutional elderly-care facilities. The proposed method does not directly measure long-term elderly user experience. Instead, it optimizes spatial proxy indicators related to accessibility, fall-risk exposure, visual recognizability, and wayfinding complexity, which are used to support age-friendly layout decision-making. Methods: An optimization approach for age-friendly homestay spaces is proposed, integrating SegNet and space syntax. The lightweight SegNet model is able to detect elements in architectural floor plans. Space syntax modeling, along with Visibility Graph Analysis, provides a multidimensional space for age-friendliness. The method also integrates Non-dominated Sorting Genetic Algorithm II and Simulated Annealing for algorithmic optimization. Results: Experimental results demonstrate that the proposed model maintains high computational efficiency. The mean Intersection over Union reaches 0.89. Precision and recall both exceed 0.90. In spatial optimization, the hybrid solving algorithm outperforms the single genetic algorithm. The hypervolume indicator increases to 0.72. The inverted generational distance decreases to 0.22. Conclusion: The proposed framework effectively facilitates the generation of age-friendly spatial configurations that balance accessibility efficiency, caregiving safety, and cognitive clarity. This study provides scientific decision support for precise renovation of homestay spaces. It also offers practical value for improving the quality of health-oriented tourism accommodation. © The Author(s) 2026.",Age-friendly design; Homestay space; SegNet; Semantic segmentation; Space syntax,Computational efficiency; Decision making; Decision support systems; Electromagnets; Genetic algorithms; Risk management; Semantics; Simulated annealing; Urban planning; Age-friendly; Age-friendly design; Evaluation methods; Homestay space; Layout methods; Optimization design; Segnet; Semantic segmentation; Space syntax; Spatial optimization; Syntactics,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105046946612
Félix J.; Moreira J.; Pereira S.; Guedes D.; Sá C.; Santos R.; Faria B.; Kontio E.; Pinheiro A.R.; Sousa A.S.P.,"Félix, José (57480512100); Moreira, Juliana (57221257883); Pereira, Soraia (55897136200); Guedes, Diana (58776477300); Sá, Catarina (57140121800); Santos, Rubim (43861816800); Faria, Brígida (6506476517); Kontio, Elina (35071421900); Pinheiro, Ana Rita (56174077500); Sousa, Andreia S. P. (55505517200)",57480512100; 57221257883; 55897136200; 58776477300; 57140121800; 43861816800; 6506476517; 35071421900; 56174077500; 55505517200,Understanding wearable health technology use in older adults through social and psychological factors,2026,Discover public health,23,1,12,,,2,10.1186/s12982-025-01271-5,https://www.scopus.com/pages/publications/105026668929?origin=resultslist,"As populations age globally, wearable health technologies offer promising solutions to support autonomy and well-being among older adults. This study explored the adoption of smart wearable systems, such as wristbands and chest sensors, for remote health monitoring among 352 older adults (aged 60–99) in Northern Portugal. Results showed that 74.4% of participants expressed interest in using wearable systems, with safety (93.9%) cited as the main benefit. Prevention (11.4%) and improved health monitoring (6.1%) were reported less frequently and should be considered secondary factors. However, barriers included discomfort (62.7%), heaviness (31.1%), and device size (32.7%), particularly in smartwatches. Chest bands were preferred when soft, lightweight, and discreet. Technology use frequency, especially smartphone usage, emerged as a key predictor of interest, as confirmed by a decision tree machine learning model with an accuracy of 71.88%. Despite low educational levels, participants demonstrated high motivation to use features such as medication reminders (83.5%), healthy habit prompts (74.2%), and appointment alerts (70.2%). Although many respondents felt reassured by the potential of continuous monitoring, some reported concerns related to anxiety (54.9%) and over-surveillance. These findings underscore the importance of balancing technological functionality with emotional comfort. The study highlights the need for user-centered design, digital literacy initiatives, and co-creation with older users to improve adherence and usability. Tailored interventions and accessible technologies can enhance health outcomes and promote independent living among aging populations. © The Author(s) 2025.",,adult; aged; anxiety; Article; community assessment; cross-sectional study; decision tree; decision tree technique; digital health technology; doctoral education; exploratory research; female; health care delivery; health care survey; human; human experiment; intervention study; interview; machine learning; male; middle aged; normal human; observational study; perception; physiotherapist; psychological aspect; psychometry; questionnaire; social adaptation; telemonitoring; training; very elderly; wearable technology,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105026668929
Wolff D.; Marschollek M.,"Wolff, Dominik (57201946256); Marschollek, Michael (22734965900)",57201946256; 22734965900,Evaluating the external validity of an artificial intelligence-based mobile support app for caregiving relatives by an online expert survey,2026,BMC Medical Informatics and Decision Making,26,1,58,,,0,10.1186/s12911-026-03407-2,https://www.scopus.com/pages/publications/105031628502?origin=resultslist,"Background: Mobile Care Backup is a support app for family caregivers that provides textual information on topics personalized to their specific care situation. Personalization is performed by an artificial intelligence-based expert system. Here, we present the evaluation of the expert system’s validity with project external nursing experts. Furthermore, we discuss the general limitations of an online survey as an evaluation methodology for expert systems. Methods: This study was conducted as an online survey in German and English. A total of nine experts, all of whom were female and had extensive (outpatient) care experience, were included. The participants were presented with descriptions of multiple fictitious family caregivers and the system’s personalized list of topics. They were then asked to rate the appropriateness on a five-item Likert scale and suggest additional topics. The collected data was analyzed descriptively to investigate whether MoCaB‘s topic recommendation strategy aligns with project external experts. For deviating topic sequences, the consensus of the experts was verified by pairwise rank correlation using Spearman’s Rho. Additional suggested topics were checked to see if they were part of the system but not provided (false negatives). Results: In the 495 submitted ratings, participants rated the suggested topics‘ appropriateness relatively high, with an average rating of 4.4 and a median of 5. This indicates that participants consider most of the recommended topics important for the fictitious family caregiver. The system‘s personalization performance was high (precision of 0.965 and recall of 0.986). Overall, the experts are unanimous. There is no unique alternative sequence regarding the rare cases of disagreement with the system in the ordering of topics. Conclusions: The MoCaB system’s external validity is high, and isolated inconsistencies will be resolved in the project group. Using an online survey to evaluate the system’s validity with external experts is complex and time-consuming. Participants need a very high degree of competence, as they must infer from the title to the content. Nevertheless, it is an essential step in the evaluation process of expert systems and, if carried out correctly, can identify weak spots and further improve the expert system. © The Author(s) 2026.",Evaluation; Expert system; External validity; Health literacy; Informal care; Knowledge-based system; Mobile health; Nursing,Adult; Artificial Intelligence; Caregivers; Expert Systems; Female; Humans; Mobile Applications; Reproducibility of Results; Surveys and Questionnaires; adult; article; artificial intelligence; care behavior; caregiver; consensus; expert system; external validity; false negative result; female; health literacy; human; informal care; knowledge; Likert scale; outpatient care; telehealth; validity; caregiver; mobile application; questionnaire; reproducibility,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105031628502
Badarch L.; Byambaa D.; Park H.; Tsogtgerel G.; Alnajjar F.; Gochoo M.,"Badarch, Luubaatar (54956723700); Byambaa, Dorj (60251084800); Park, Hansaem (57221071752); Tsogtgerel, Gantumur (24081848400); Alnajjar, Fady (14526943700); Gochoo, Munkhjargal (56038574900)",54956723700; 60251084800; 57221071752; 24081848400; 14526943700; 56038574900,TCubes: Non-privacy invasive dataset for activities of daily living as thermal cubes,2027,Expert Systems with Applications,333,,133943,,,0,10.1016/j.eswa.2026.133943,https://www.scopus.com/pages/publications/105047653304?origin=resultslist,"This work introduces the first open multi–infrared (IR) thermal array sensor dataset for recognizing 19 activities of daily living (ADL) performed by 74 subjects. Each activity sample forms a 32  ×  32 × 32 thermal tensor cube-hence the name TCubes. The dataset surpasses existing resources in scale, featuring the highest number of activities, twice as many sensors, and three times as many participants as comparable datasets. Thermal patterns were captured using nine low-resolution (8  ×  8) IR thermal sensors distributed in the environment, providing a non-invasive and privacy-preserving means of activity recognition. A comprehensive benchmarking study evaluates both convolutional and transformer-based architectures—including C3D, R(2+1)D-18, MViTv2, and Swin-T—to assess their ability to learn spatiotemporal representations from coarse thermal imagery. Results are highly promising: R(2+1)D-18 achieves the most consistent performance with an F1-score of 0.900, while MViTv2 and R3D-18 reach F1-scores of 0.887 and 0.881, respectively. Transformer models such as MViTv2 and Swin-T effectively capture subtle gestures and generalize well across the activity classes. The lightweight 3DCNN-Mixed model further demonstrates practical edge feasibility, requiring only 63,202 parameters and achieving 419.1 ms per 32  ×  32 × 32 tensor cube on a Raspberry Pi 3 Model B with a model footprint of 0.249 MiB. Analyses leveraging entropy, mutual confusion, and frequency-domain representations reveal how factors such as activity location, posture, temporal dynamics, and motion periodicity influence recognition accuracy. Overall, this dataset and benchmarking suite establish a robust foundation for future research in low-resolution, low-compute, non-invasive, and privacy-preserving human activity recognition, with broad implications for eldercare, healthcare monitoring, in smart environments. © 2026 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license. http://creativecommons.org/licenses/by-nc-nd/4.0/",Activity recognition; Deep learning; Infrared array sensors; Privacy-preserving sensing; Thermal imaging; Transformer models,3D modeling; Benchmarking; Frequency domain analysis; Infrared detectors; Infrared imaging; Pattern recognition; Privacy-preserving techniques; Tensors; Activities of Daily Living; Activity recognition; Array sensors; Deep learning; Infrared array sensor; Infrared arrays; Privacy preserving; Privacy-preserving sensing; Thermal-imaging; Transformer modeling; Deep learning,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-105047653304
Meixia Q.; Tao Z.; Ali I.; Baikady R.; Faisal M.M.M.; Akhtar T.,"Meixia, Qu (59707488400); Tao, Zhou (60582071300); Ali, Isahaque (55241124000); Baikady, Rajendra (57194583980); Faisal, Md. Mahadi Masud (60581619100); Akhtar, Tahmina (34973761900)",59707488400; 60582071300; 55241124000; 57194583980; 60581619100; 34973761900,Artificial intelligence of things (AIoT) based smart elderly care in Beijing China faces challenges and requires policy solutions,2026,Discover Global Society,4,1,45,,,1,10.1007/s44282-026-00382-x,https://www.scopus.com/pages/publications/105035783349?origin=resultslist,"Confronted with the profound challenges posed by the rapidly aging global population, smart elderly care has emerged as a vital solution for enhancing the quality of life for older adults and alleviating the socioeconomic burden on healthcare systems. Grounded in socio-technical systems theory, the Unified Theory of Acceptance and Use of Technology (UTAUT), and welfare pluralism theory, this study identifies and analyzes key barriers to the implementation of Artificial Intelligence of Things (AIoT) in elderly care from the perspectives of multiple stakeholders, proposing an integrated, theoretically-informed policy framework to facilitate effective adoption. Methodologically, a qualitative research design was employed, incorporating semi-structured interviews and field observations conducted in Beijing’s Xicheng District—a representative urban area with a high aging rate and active smart elderly care initiatives. The findings reveal five major challenges: systemic fragmentation and a lack of unified standards, a persistent mismatch between service supply and elderly needs, low technology adoption among older adults due to digital literacy and trust issues, a severe shortage of interdisciplinary professional caregivers, and over-reliance on government subsidies with limited market participation. In response, the study proposes an integrated policy framework that emphasizes standardizing AIoT systems, tailoring services to elderly needs, increasing financial investment, empowering communities, enhancing digital inclusion for older adults, and professionalizing the caregiving workforce. The study concludes that coordinated multi-stakeholder efforts are essential to leverage AIoT for building sustainable, responsive, and human-centered elderly care ecosystems. © The Author(s) 2026.",Aging population; AIoT; Beijing; Policy recommendations; Qualitative research; Smart elderly care,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105035783349
Gabr R.H.; Sharfo S.M.; Zekry R.S.; Alraee A.O.; Elghobashy M.A.; Labib F.E.-Z.M.,"Gabr, Reeham H. (57218424090); Sharfo, Samer M. (59240051700); Zekry, Rahma S. (59240138200); Alraee, Amer O. (60226326200); Elghobashy, Mohamed A. (60226326300); Labib, Fatma El-Zahraa M. (60226247100)",57218424090; 59240051700; 59240138200; 60226326200; 60226326300; 60226247100,SYSTEM FOR DETECTING IN-BED PATIENT POSITION AND NURSE ALERTING FOR PRESSURE ULCER PREVENTION USING DEEP LEARNING AND FLASK WEB APPLICATION,2026,"Biomedical Engineering - Applications, Basis and Communications",38,6,2550068,,,0,10.4015/S1016237225500681,https://www.scopus.com/pages/publications/105024011278?origin=resultslist,"Sleep posture analysis is essential for addressing conditions such as sleep apnea, pressure ulcers, and other posture-related complications. Proper monitoring and timely intervention can significantly improve patient outcomes by preventing these issues. This study presents a robust deep learning model, YOLOv8n, designed to accurately detect patient positions in bed, classified into four key postures: Supine, Prone, To-Left, and To-Right. Trained on a dataset of 4514 images - 3160 for training, 903 for validation, and 451 for testing - the YOLOv8n model achieved exceptional performance, with a precision of 95.2%, a recall of 88.2%, and an F1-score of 92% during testing. To further assess its robustness, an external dataset of 150 images (100 for validation and 50 for testing) was used, where the model demonstrated strong generalization capabilities, achieving a precision of 83.3%, a recall of 93.5%, and an mAP@0.5 of 93.6%. In the final testing phase, YOLOv8n demonstrated superior performance compared to YOLOv5n, achieving metrics such as precision (95.2% versus 88.2%), recall (88.2% versus 73%), mAP@0.5 (93.7% versus 80.7%), and mAP@0.5:0.95 (68.6% versus 54.0%). This 15.4% improvement in mAP@0.5:0.95 underscores YOLOv8n's superior accuracy, particularly in challenging postures like Prone and To-Right. These results confirm its reliability and robustness for real-time patient posture detection in diverse conditions. To enhance its practicality, the YOLOv8n model was integrated into a web application developed with the Flask micro web framework. The application provides real-time position detection and features an alert system to notify caregivers when a patient remains in the same posture for more than the medically recommended duration (1-2 h). This integration ensures usability in both clinical and home healthcare environments. In conclusion, YOLOv8n offers a highly accurate, reliable, and practical solution for real-time patient posture monitoring. By outperforming YOLOv5n across all metrics, YOLOv8n emerges as a superior model, well-suited for diverse healthcare applications and capable of improving patient care through timely intervention and effective monitoring.  © 2026 National Taiwan University.",Computer vision; Deep learning; Flask; Grad-CAM; Object detection; Transfer learning; Web application; YOLO; YOLOv5n; YOLOv8n,E-learning; Integration; Learning systems; Medical computing; Nursing; Object recognition; Patient monitoring; Patient treatment; Sleep research; Statistical tests; Transfer learning; Deep learning; Flask; Grad-CAM; Objects detection; Transfer learning; WEB application; Web applications; YOLO; YOLOv5n; YOLOv8n; Article; caregiver; decubitus; deep learning; home care; human; model; nurse; patient positioning; scoring system; Computer vision; Deep learning; Object detection,Article,Final,,Scopus,2-s2.0-105024011278
Wouters I.; Yang K.-L.; Rex S.; Milisen K.,"Wouters, Inge (60514428900); Yang, Ke-Lu (57208033790); Rex, Steffen (8096548100); Milisen, Koen (56397237300)",60514428900; 57208033790; 8096548100; 56397237300,"Prevalence, risk factors, and preventive interventions for delirium in older adults living at home and in residential care: a scoping review",2026,BMC Geriatrics,26,1,371,,,0,10.1186/s12877-026-07021-9,https://www.scopus.com/pages/publications/105033374787?origin=resultslist,"Background: Delirium is a common yet often underdiagnosed neuropsychiatric syndrome among older adults, especially those residing in the home setting or in residential care. It has been associated with elevated risks of morbidity, mortality, and institutionalization. While delirium has been extensively studied in hospital settings, its prevention and risk factors in the home setting and residential care setting remain insufficiently investigated. Objectives: This review investigates the prevalence, risk factors, and preventive interventions for delirium among older adults residing in the home setting and in residential care, including assisted home care facilities and nursing homes. Methods: A scoping review was undertaken, including studies of individuals aged ≥ 65 years diagnosed with delirium through validated assessment tools (e.g., DSM, ICD). Eligible studies were to have a primary emphasis on the prevalence, associated risk factors, or preventive strategies related to delirium. Data on study characteristics, methodological approaches, and key findings were extracted and synthesized in a narrative format, supplemented by tables and figures. Results: Sixty studies fulfilled the inclusion criteria. Reported delirium prevalence ranged from 0.1% to 44.0% in the home setting and from 1.0% to 70.3% in residential care. Key risk factors associated with delirium in the home setting and in residential care included cognitive impairment, the presence of dementia, and level of dependence, while age was generally not found to be significantly associated with delirium and was only investigated in residential care. Although various preventive interventions were identified, most studies examined their feasibility rather than their effectiveness in reducing the incidence of delirium. Conclusion: Delirium and its risk factors remain insufficiently studied in non-hospital settings. The use of validated diagnostic criteria in community settings is crucial to reduce variation in prevalence estimates, and randomized controlled trials are needed to assess the effectiveness of interventions. Trial registration: This scoping review was registered in the Open Science Framework on 9 July 2023 (https://doi.org/10.17605/OSF.IO/DVYWC). © The Author(s) 2026.",Delirium; Older adults; Home setting; Residential facilities; Scoping review,"Aged; Aged, 80 and over; Delirium; Home Care Services; Humans; Independent Living; Nursing Homes; Prevalence; Residential Facilities; Risk Factors; aged; delirium; diagnosis; epidemiology; home care; human; independent living; nursing home; prevalence; prevention and control; psychology; residential home; risk factor; therapy; very elderly",Review,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105033374787
Luan B.; Li Y.,"Luan, Bin (59731284200); Li, Yongchuan (60396922600)",59731284200; 60396922600,How smart companions reshape psychological well-being in later life: the role of artificial intelligence technology in mental health during senior years,2026,BMC Public Health,26,1,609,,,2,10.1186/s12889-026-26328-1,https://www.scopus.com/pages/publications/105030208306?origin=resultslist,"Against the dual backdrop of global population ageing and digital transformation, how to leverage smart eldercare technologies to bridge the “digital divide” and enhance older adults’ psychological well-being has become a pressing issue. Grounded in the Technology Acceptance Model (TAM) and the Unified Theory of Acceptance and Use of Technology (UTAUT), this study innovatively develops a deep hybrid analytical framework that integrates Structural Equation Modeling (SEM) with Artificial Neural Networks (ANN). SEM is employed to validate the linear causal pathways among variables, while ANN is introduced to uncover nonlinear relationships and predictive weights in the data. The SEM results confirm a clear transmission pathway of “technology perception → demand satisfaction → enhancement of well-being,” in which “usage demand” plays a key mediating role. The nonlinear sensitivity analysis based on ANN further reveals that perceived usefulness and usage demand are the primary driving factors for predicting older adults’ well-being, indicating that their value orientation toward technology has shifted from “usable” to “truly useful.” The findings suggest that future product design should move away from mere functional stacking toward precise value alignment and zero–cognitive-load interaction, thereby providing scientific evidence for achieving high-quality, proactive healthy ageing. © The Author(s) 2026.",Mental health; Older adults; Smart eldercare; Smart technologies; Well-being,"Aged; Aged, 80 and over; Artificial Intelligence; Digital Health; Female; Humans; Male; Mental Health; Neural Networks, Computer; Psychological Well-Being; aged; artificial intelligence; artificial neural network; digital health; female; human; male; mental health; psychological well-being; very elderly",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105030208306
Hobson-Green V.; Olsen Q.; Sullivan C.; Woods L.,"Hobson-Green, Vicki (60753593800); Olsen, Quita (59757460700); Sullivan, Clair (8313456100); Woods, Leanna (57201291289)",60753593800; 59757460700; 8313456100; 57201291289,Artificial intelligence in healthcare: a qualitative study exploring consumer perspectives,2026,BMC Medical Ethics,27,1,143,,,0,10.1186/s12910-026-01535-y,https://www.scopus.com/pages/publications/105045525040?origin=resultslist,"Background: Artificial intelligence (AI) holds significant promise for healthcare, yet its real-world adoption remains limited, partly due to uncertainty about healthcare consumer acceptance. While existing ethical frameworks provide high-level principles, there remains a need to understand healthcare consumer perspectives to ensure AI integration reflects their values and preferences. This study addresses the question: What are healthcare consumers’ perspectives on AI in healthcare? Methods: A cross-sectional qualitative research study involving online focus groups was conducted in April 2025. Participants were self-selecting adult healthcare consumers or caregivers who had accessed public healthcare in Queensland, Australia in the preceding 24 months. Analysis was guided by the World Health Organisation (WHO) ethical principles, combining deductive classifications with inductive thematic analysis. Themes were refined through consensus. Results: Consumers’ perspectives on AI in healthcare were captured in 19 themes across all six WHO principles. The most frequently discussed principles were inclusiveness and equity (Principle 5, five themes) and transparency, explainability, and intelligibility (Principle 3, four themes). Participants emphasised the need for clear communication, equity, transparency and preservation of human interaction in clinical care. Conclusions: Sustaining healthcare consumers trust and upholding traditional healthcare values by ensuring human connection in healthcare are critical for successful AI integration. Insights from this study, combined with existing evidence, can inform the future development of a values-based framework and social licence to guide safe, ethical and consumer-centred implementation of AI in healthcare. © The Author(s) 2026.",Artificial intelligence; Digital health; Ethics; Health services research; Healthcare consumers opinion; Patients; Qualitative research,Adult; Aged; Artificial Intelligence; Communication; Consumer Behavior; Cross-Sectional Studies; Delivery of Health Care; Digital Health; Female; Focus Groups; Humans; Male; Middle Aged; Qualitative Research; Queensland; Trust; adult; aged; artificial intelligence; consumer attitude; cross-sectional study; digital health; ethics; female; health care delivery; human; information processing; interpersonal communication; male; middle aged; qualitative research; Queensland; trust,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105045525040
Liu X.; Fu J.; Zhu W.; Lyu H.; Li S.; Wang Y.,"Liu, Xiaoting (56819643100); Fu, Jinjing (60720843800); Zhu, Wenxuan (60720759200); Lyu, Hao (59982652200); Li, Shimin (57222515759); Wang, Yanru (60720759300)",56819643100; 60720843800; 60720759200; 59982652200; 57222515759; 60720759300,Does long-term care insurance promote assistive device utilization? Evidence from pilot regions in China,2026,Health Economics Review,16,1,80,,,0,10.1186/s13561-026-00779-z,https://www.scopus.com/pages/publications/105043583382?origin=resultslist,"Background: As China's population aging rapidly, long-term care insurance (LTCI) has emerged as a critical policy instrument to address the care needs of older adults. While previous studies have examined the effects of LTCI on service utilization, less is known about its effect on assistive device utilization—a key component in supporting functional independence and reducing caregiver burden. This study examines the association between LTCI benefit design and assistive device use among older adults in China. Methods: We use cross-sectional data from 1,460 older adults residing in elderly care institutions located in non-pilot areas, general LTCI pilot areas (covering care services only), and special LTCI pilot areas (covering both care services and assistive devices). Logistic regression models were used to estimate the associations between LTCI benefit types and assistive device use. Robustness checks were conducted using propensity score matching (PSM), and subgroup analyses were performed by age, education, and household registration. Results: General LTCI programs that cover care service only were significantly associated with a lower probability of assistive device use, consistent with a potential substitution effect in which subsidized formal care services may replace the need for assistive devices. In contrast, LTCI programs that explicitly include assistive device benefits were associated with a higher probability of assistive device use. These associations were more pronounced among the oldest-old, individuals with urban household registration, and those with lower education levels. Additional analyses indicate that the observed associations are primarily driven by mobility-related devices, whereas estimates for ADL-related devices and total device counts are not statistically significant. Conclusion: The findings suggest that the design of LTCI benefit packages may influence older adults’ care choices and technology adoption. While causal interpretation remains limited, the results highlight the potential role of benefit design in shaping the balance between formal care services and assistive technology use. Expanding assistive device coverage and improving accessibility may help support functional independence among older adults in ageing societies, particularly in underserved rural regions. © The Author(s) 2026.",Assistive devices; Benefit design; China; Cross-sectional study; Long-term care insurance,adoption; adult; aging; Article; caregiver burden; China; cognition; cross-sectional study; distress syndrome; education; elderly care; female; health insurance; health service; health status; household; human; logistic regression analysis; long term care insurance; major clinical study; male; mental health; pilot study; probability; propensity score; socioeconomics,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105043583382
Moradi M.; Østergaard Pedersen A.M.; Mavraganis K.J.; Kristensen M.R.; Wessels J.O.; Bayatshahbazi S.; Biesenbach P.,"Moradi, Masoud (60198800700); Østergaard Pedersen, Anita Maués (60585789400); Mavraganis, Katrine Jaquet (60198883500); Kristensen, Mette Rahbek (57215507017); Wessels, Johanne Overgaard (60198723200); Bayatshahbazi, Sina (60198883600); Biesenbach, Peter (35387461600)",60198800700; 60585789400; 60198883500; 57215507017; 60198723200; 60198883600; 35387461600,30-day hospital admission among older adults initially managed at home by a mobile emergency unit: a retrospective cohort study,2026,BMC Emergency Medicine,26,1,111,,,0,10.1186/s12873-026-01536-5,https://www.scopus.com/pages/publications/105035874516?origin=resultslist,"Background: In recent years, Denmark has introduced mobile emergency unit (MEU) to provide patients with home-based evaluation and treatment by emergency medicine physicians. The aim is to avoid unnecessary hospital admissions and to reduce overcrowding in emergency departments. However, it is unknown which demographic, clinical, and paraclinical characteristics of patients at the index MEU assessment are related to subsequent hospital admission. Therefore, we aimed to describe these baseline characteristics and to examine their association with 30-day hospital admission. Methods: In this retrospective, single-centre cohort study at Esbjerg Hospital (Region of Southern Denmark), we screened 1656 MEU contacts (from 1 January to 31 December 2024) and included adults aged ≥ 65 years, who were not directly admitted/conveyed to hospital at the index visit (i.e. initially managed at home). These patients were potential candidates for hospital admission, and the emergency physician made an on-scene decision regarding admission. Data were analysed using multivariable logistic regression. Results: We included 357 MEU contacts, with a median (interquartile range) age of 83.5 (77.6–89.2) years. 140 (39.2%) of these contacts were admitted to hospital within 30 days. A higher proportion of the admitted patients had a pre-existing do-not-attempt-resuscitation (DNAR) order compared with the non-admitted patients (85.0% vs 66.4%; p < 0.001) and lived at home (57.8% vs. 47.4%; p = 0.055). Chronic pulmonary disease was more common among the admitted patients (31.4% vs 19.3%; p = 0.009), whereas dementia was less frequent (18.6% vs 28.1%; p = 0.042). Both a pre-existing DNAR order (odds ratio [OR] 3.83, 95% confidence interval [CI] 2.05–7.16) and home (vs nursing home) residence (OR 1.76, 95% CI 1.03–2.98) were significantly associated with hospital admission in the adjusted model. Conclusions: Among older adults assessed at home by MEU physicians, a pre-existing DNAR order and home (vs nursing home) residence were independently associated with 30-day hospital admission. These findings may inform triage and follow-up planning. However, prospective studies are required to establish causal links. © The Author(s) 2026.",Emergency medicine; Home-based assessment; Hospital admission; Mobile emergency unit; Older adults; Prehospital care,"Aged; Aged, 80 and over; Denmark; Emergency Service, Hospital; Female; Hospitalization; Humans; Male; Mobile Health Units; Patient Admission; Retrospective Studies; aged; Denmark; female; field hospital; hospital admission; hospital emergency service; hospitalization; human; male; retrospective study; very elderly",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105035874516
